IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
162.159.192.167,880,880,TRUE,SIN,Asia Pacific,Singapore,20,10
162.159.192.18,1002,1002,TRUE,SIN,Asia Pacific,Singapore,20,10
162.159.192.248,880,880,FALSE,SIN,Asia Pacific,Singapore,20,10
162.159.192.230,1002,1002,TRUE,SIN,Asia Pacific,Singapore,20,10
162.159.192.230,880,880,FALSE,SIN,Asia Pacific,Singapore,20,10
162.159.192.137,880,880,FALSE,SIN,Asia Pacific,Singapore,20,10
188.114.96.189,880,880,FALSE,NRT,Asia Pacific,Tokyo,20,10
188.114.99.212,880,880,FALSE,NRT,Asia Pacific,Tokyo,20,10
188.114.96.638,880,880,FALSE,NRT,Asia Pacific,Tokyo,20,10
188.114.96.180,1002,1002,FALSE,SIN,Asia Pacific,Singapore,20,10
188.114.98.210,880,880,FALSE,NRT,Asia Pacific,Tokyo,20,10
162.159.195.124,880,880,FALSE,SIN,Asia Pacific,Singapore,20,10
162.159.192.128,1002,1002,FALSE,NRT,Asia Pacific,Tokyo,20,10
162.159.192.137,1002,1002,FALSE,NRT,Asia Pacific,Tokyo,20,10
162.159.192.18,880,880,FALSE,SIN,Asia Pacific,Singapore,20,10
162.159.192.167,1002,1002,TRUE,SIN,Asia Pacific,Singapore,20,10
162.159.192.248,1002,1002,FALSE,NRT,Asia Pacific,Tokyo,20,10
162.159.192.128,880,880,FALSE,NRT,Asia Pacific,Tokyo,20,10
162.159.192.31,880,880,FALSE,NRT,Asia Pacific,Tokyo,20,10
162.159.195.124,1002,1002,FALSE,SIN,Asia Pacific,Singapore,20,10
162.159.195.182,880,880,FALSE,NRT,Asia Pacific,Tokyo,20,10
188.114.97.398,880,880,FALSE,NRT,Asia Pacific,Tokyo,20,10
162.159.192.54,880,880,FALSE,NRT,Asia Pacific,Tokyo,20,10
162.159.195.182,1002,1002,FALSE,NRT,Asia Pacific,Tokyo,20,10
162.159.192.31,1002,1002,FALSE,NRT,Asia Pacific,Tokyo,391,4.61
188.114.97.391,1002,1002,FALSE,NRT,Asia Pacific,Tokyo,79,4.57
188.114.98.828,880,880,FALSE,NRT,Asia Pacific,Tokyo,73,4.46
162.159.192.54,1002,1002,FALSE,NRT,Asia Pacific,Tokyo,359,4.43
188.114.98.821,1002,1002,FALSE,NRT,Asia Pacific,Tokyo,402,4.43
